"temp","humid","wind_dir","wind_speed","sched_dep_time","air_time","distance","delay"
62.96,77.83,210,13.80936,600,123,762,"0"
59,64.22,240,9.20624,1250,44,187,"1"
33.98,49.51,270,17.2617,1715,133,950,"1"
37.04,45.58,20,5.7539,2030,107,711,"0"
62.96,44.47,160,13.80936,1625,90,502,"0"
64.4,77.29,240,16.11092,900,136,937,"0"
69.08,56.66,180,4.60312,1529,110,725,"0"
57.92,64.52,190,3.45234,1530,118,738,"0"
53.6,81.87,320,20.71404,1650,101,589,"0"
51.08,56.05,140,12.65858,1700,47,214,"0"
66.02,48.47,310,10.35702,1253,44,212,"0"
80.06,76.36,180,5.7539,925,313,2475,"1"
82.94,38.39,240,9.20624,1340,46,266,"1"
51.08,37.54,100,16.11092,1742,333,2454,"1"
39.92,62.21,310,5.7539,729,149,1035,"0"
73.04,73.41,150,4.60312,1435,122,828,"0"
33.98,63.77,280,6.90468,800,335,2586,"0"
60.98,96.85,0,0,647,40,199,"0"
80.06,69.23,260,9.20624,1030,103,746,"0"
35.96,81.72,340,20.71404,1530,148,1069,"1"
66.92,63.08,190,6.90468,2000,34,184,"0"
68,78.25,210,14.96014,705,324,2402,"1"
75.2,90.73,250,9.20624,1136,85,544,"1"
44.96,53.17,50,6.90468,1015,149,1035,"1"
28.94,37.29,240,11.5078,1605,118,765,"0"
71.96,93.49,170,13.80936,730,133,1005,"0"
39.92,57.33,250,14.96014,755,279,1620,"0"
66.92,63.08,160,10.35702,1510,214,1504,"0"
71.06,86.77,260,6.90468,645,160,1182,"0"
73.94,53.37,130,11.5078,1625,111,708,"0"
71.06,47.29,360,10.35702,1445,148,1076,"0"
78.98,37.78,140,6.90468,1629,141,1035,"1"
39.02,93.14,70,8.05546,1804,327,2454,"1"
51.98,87.37,90,5.7539,1129,139,937,"0"
69.98,30.95,230,9.20624,1440,72,502,"0"
71.96,94.06,180,12.65858,605,131,944,"0"
71.06,33.61,140,9.20624,1329,43,266,"1"
41,61.89,0,0,2030,134,719,"1"
44.96,30.79,280,14.96014,1345,30,94,"0"
62.96,55.8,20,6.90468,810,175,1372,"1"
44.06,34.72,360,11.5078,1250,206,1069,"1"
86,47.97,240,11.5078,1131,144,1096,"0"
46.04,45.33,330,14.96014,1704,91,544,"1"
57.02,54.95,270,11.5078,2140,337,2475,"0"
78.98,39.05,360,12.65858,1710,317,2475,"0"
51.08,82.81,50,6.90468,630,90,544,"0"
59,89.57,40,3.45234,630,88,502,"0"
37.94,64.29,300,4.60312,700,313,2475,"1"
57.02,36.87,0,0,1445,155,872,"0"
39.92,69.96,50,18.41248,600,84,488,"0"
46.04,67.69,50,5.7539,1700,133,733,"0"
60.8,93.05,160,6.90468,1819,49,284,"1"
55.04,29.89,210,16.11092,1415,151,1020,"1"
26.06,65.21,320,5.7539,740,158,997,"0"
62.96,72.42,20,16.11092,1515,185,1372,"1"
39.02,59.37,0,0,715,154,1068,"0"
42.08,82.17,50,5.7539,855,90,502,"1"
66.92,52.35,70,8.05546,1110,141,1096,"0"
48.02,53.63,220,10.35702,1200,40,184,"0"
30.02,53.29,290,10.35702,1725,123,765,"0"
64.94,87,0,0,659,79,544,"0"
51.08,31.57,300,16.11092,1508,199,1400,"0"
44.06,46.73,240,9.20624,1000,243,1725,"1"
42.8,95.92,80,3.45234,1835,322,2422,"1"
80.96,54.35,230,11.5078,1430,61,397,"1"
75.92,48.34,320,11.5078,1400,45,214,"0"
66.92,37.15,330,3.45234,1250,101,738,"1"
68,33.12,330,13.80936,1212,281,2133,"0"
42.98,48.7,220,23.0156,1059,46,200,"0"
39.92,62.21,20,29.92028,1905,321,2475,"1"
35.96,43.67,310,13.80936,1727,101,645,"1"
51.98,34.72,310,23.0156,912,152,1005,"1"
30.92,55.99,230,13.80936,1647,105,488,"1"
64.04,80.49,20,13.80936,1100,103,719,"0"
44.06,67.45,160,6.90468,1359,122,799,"0"
62.96,93.83,60,11.5078,1310,114,762,"1"
64.4,77.29,240,16.11092,925,153,1085,"0"
37.04,69.63,360,12.65858,800,337,2586,"1"
71.06,58.82,170,4.60312,2100,123,950,"0"
42.98,48.7,320,9.20624,820,121,764,"0"
51.08,79.48,310,14.96014,1523,116,719,"1"
39.02,40.57,40,9.20624,2035,112,725,"1"
71.96,26.76,340,16.11092,1925,198,1587,"1"
44.96,55.56,320,8.05546,615,137,1085,"0"
66.92,84.38,190,12.65858,755,144,1041,"0"
78.08,66.48,140,10.35702,1550,104,569,"1"
46.04,32.2,280,10.35702,1200,166,1074,"0"
26.06,62.7,330,9.20624,817,222,1620,"0"
53.96,36.63,160,9.20624,1755,115,725,"0"
75.02,84.34,210,6.90468,1900,39,214,"1"
75.92,46.47,130,11.5078,1550,117,748,"1"
33.08,42.84,280,12.65858,1200,63,213,"0"
68,65.31,30,4.60312,837,37,169,"0"
57.02,63.97,160,12.65858,1520,139,733,"0"
14,55.64,340,11.5078,715,148,1069,"1"
26.96,50.34,330,18.41248,2000,140,1005,"0"
66.02,52.22,40,10.35702,1530,343,2586,"0"
75.92,43.21,0,0,1215,194,1389,"0"
32,58.37,280,14.96014,600,110,711,"0"
71.06,78.49,110,9.20624,1600,43,214,"1"
