"temp","humid","wind_dir","wind_speed","delay"
62.96,77.83,210,13.80936,"0"
59,64.22,240,9.20624,"1"
33.98,49.51,270,17.2617,"1"
37.04,45.58,20,5.7539,"0"
62.96,44.47,160,13.80936,"0"
64.4,77.29,240,16.11092,"0"
69.08,56.66,180,4.60312,"0"
57.92,64.52,190,3.45234,"0"
53.6,81.87,320,20.71404,"0"
51.08,56.05,140,12.65858,"0"
66.02,48.47,310,10.35702,"0"
80.06,76.36,180,5.7539,"1"
82.94,38.39,240,9.20624,"1"
51.08,37.54,100,16.11092,"1"
39.92,62.21,310,5.7539,"0"
73.04,73.41,150,4.60312,"0"
33.98,63.77,280,6.90468,"0"
60.98,96.85,0,0,"0"
80.06,69.23,260,9.20624,"0"
35.96,81.72,340,20.71404,"1"
66.92,63.08,190,6.90468,"0"
68,78.25,210,14.96014,"1"
75.2,90.73,250,9.20624,"1"
44.96,53.17,50,6.90468,"1"
28.94,37.29,240,11.5078,"0"
71.96,93.49,170,13.80936,"0"
39.92,57.33,250,14.96014,"0"
66.92,63.08,160,10.35702,"0"
71.06,86.77,260,6.90468,"0"
73.94,53.37,130,11.5078,"0"
71.06,47.29,360,10.35702,"0"
78.98,37.78,140,6.90468,"1"
39.02,93.14,70,8.05546,"1"
51.98,87.37,90,5.7539,"0"
69.98,30.95,230,9.20624,"0"
71.96,94.06,180,12.65858,"0"
71.06,33.61,140,9.20624,"1"
41,61.89,0,0,"1"
44.96,30.79,280,14.96014,"0"
62.96,55.8,20,6.90468,"1"
44.06,34.72,360,11.5078,"1"
86,47.97,240,11.5078,"0"
46.04,45.33,330,14.96014,"1"
57.02,54.95,270,11.5078,"0"
78.98,39.05,360,12.65858,"0"
51.08,82.81,50,6.90468,"0"
59,89.57,40,3.45234,"0"
37.94,64.29,300,4.60312,"1"
57.02,36.87,0,0,"0"
39.92,69.96,50,18.41248,"0"
46.04,67.69,50,5.7539,"0"
60.8,93.05,160,6.90468,"1"
55.04,29.89,210,16.11092,"1"
26.06,65.21,320,5.7539,"0"
62.96,72.42,20,16.11092,"1"
39.02,59.37,0,0,"0"
42.08,82.17,50,5.7539,"1"
66.92,52.35,70,8.05546,"0"
48.02,53.63,220,10.35702,"0"
30.02,53.29,290,10.35702,"0"
64.94,87,0,0,"0"
51.08,31.57,300,16.11092,"0"
44.06,46.73,240,9.20624,"1"
42.8,95.92,80,3.45234,"1"
80.96,54.35,230,11.5078,"1"
75.92,48.34,320,11.5078,"0"
66.92,37.15,330,3.45234,"1"
68,33.12,330,13.80936,"0"
42.98,48.7,220,23.0156,"0"
39.92,62.21,20,29.92028,"1"
35.96,43.67,310,13.80936,"1"
51.98,34.72,310,23.0156,"1"
30.92,55.99,230,13.80936,"1"
64.04,80.49,20,13.80936,"0"
44.06,67.45,160,6.90468,"0"
62.96,93.83,60,11.5078,"1"
64.4,77.29,240,16.11092,"0"
37.04,69.63,360,12.65858,"1"
71.06,58.82,170,4.60312,"0"
42.98,48.7,320,9.20624,"0"
51.08,79.48,310,14.96014,"1"
39.02,40.57,40,9.20624,"1"
71.96,26.76,340,16.11092,"1"
44.96,55.56,320,8.05546,"0"
66.92,84.38,190,12.65858,"0"
78.08,66.48,140,10.35702,"1"
46.04,32.2,280,10.35702,"0"
26.06,62.7,330,9.20624,"0"
53.96,36.63,160,9.20624,"0"
75.02,84.34,210,6.90468,"1"
75.92,46.47,130,11.5078,"1"
33.08,42.84,280,12.65858,"0"
68,65.31,30,4.60312,"0"
57.02,63.97,160,12.65858,"0"
14,55.64,340,11.5078,"1"
26.96,50.34,330,18.41248,"0"
66.02,52.22,40,10.35702,"0"
75.92,43.21,0,0,"0"
32,58.37,280,14.96014,"0"
71.06,78.49,110,9.20624,"1"
